                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.57552,                0.66998,                0.48171,                0.95414,                0.91927,                0.87159,                0.93241,                0.78798,                0.91927,                0.87159,                0.91259,                0.75185,                0.54394,                 1.1814,                0.97899,                 1.0731,              0.0016175,              0.0016175,              0.0016175
                     75,                0.52518,                0.63205,                0.44813,                0.94225,                0.79332,                0.91025,                0.94347,                 0.8125,                0.84825,                0.84883,                0.90672,                0.76168,                0.53892,                 1.0876,                0.98378,                 1.0774,              0.0016168,              0.0016168,              0.0016168
                     76,                0.56743,                 0.7363,                0.52064,                0.94566,                0.75469,                0.92453,                0.88338,                0.74694,                0.75469,                0.92453,                0.86671,                0.75065,                0.52239,                0.99039,                0.65967,                 1.0736,              0.0016161,              0.0016161,              0.0016161
                     77,                0.59827,                0.75542,                 0.4806,                0.98687,                0.82674,                0.77381,                0.89135,                0.78105,                0.82674,                0.77381,                0.88571,                0.77089,                0.52196,                0.84522,                0.57439,                 1.0801,              0.0016154,              0.0016154,              0.0016154
                     78,                 0.5313,                0.67567,                0.45314,                0.95111,                0.79337,                0.94048,                0.92918,                0.78255,                0.79337,                0.94048,                0.92918,                0.84783,                0.53103,                0.75061,                0.62471,                  1.054,              0.0016147,              0.0016147,              0.0016147
                     79,                0.54241,                0.67418,                0.44275,                0.94434,                0.82189,                0.94048,                0.94375,                0.78571,                0.82189,                0.94048,                0.93774,                0.83261,                 0.5009,                 0.7229,                0.68448,                 1.0263,              0.0016141,              0.0016141,              0.0016141
                     80,                0.53154,                0.69641,                0.47079,                0.93792,                0.88924,                0.95498,                0.96841,                0.77176,                0.88924,                0.95498,                0.96841,                0.83664,                0.53249,                 0.7176,                0.56369,                 1.0608,              0.0016134,              0.0016134,              0.0016134
                     81,                0.54415,                 0.6871,                0.44648,                0.95939,                0.91781,                0.93537,                 0.9645,                 0.7507,                0.91781,                0.93537,                 0.9645,                0.81734,                 0.5446,                0.60633,                 0.5376,                 1.0796,              0.0016127,              0.0016127,              0.0016127
                     82,                0.54858,                0.68357,                0.46455,                0.94048,                0.91402,                0.85714,                 0.9237,                0.76546,                0.91402,                0.85714,                 0.9237,                0.80657,                0.54392,                0.59186,                0.51443,                 1.0692,               0.001612,               0.001612,               0.001612
                     83,                 0.5234,                0.65361,                0.42753,                0.94238,                 0.8833,                0.95797,                0.96902,                0.81632,                 0.8833,                0.95797,                0.96902,                0.87522,                 0.5205,                0.54782,                0.51313,                 1.0577,              0.0016113,              0.0016113,              0.0016113
                     84,                0.52747,                0.70095,                0.46216,                0.93905,                0.95372,                0.87454,                0.92669,                0.76785,                0.95372,                0.87454,                0.92669,                0.78583,                0.56955,                0.74583,                0.50656,                 1.0972,              0.0016106,              0.0016106,              0.0016106
                     85,                0.52448,                0.66219,                0.43564,                0.93217,                0.91917,                0.91508,                0.96434,                0.83521,                0.91917,                0.91508,                0.96434,                0.86171,                 0.5179,                0.58554,                0.47602,                 1.0585,              0.0016099,              0.0016099,              0.0016099
                     86,                0.52343,                 0.6081,                0.44784,                0.94098,                0.94142,                0.94048,                0.95784,                0.84138,                0.94142,                0.94048,                0.95469,                 0.8469,                0.50041,                0.58703,                0.51054,                 1.0585,              0.0016092,              0.0016092,              0.0016092
                     87,                0.51289,                0.60749,                0.43221,                0.92479,                0.89244,                0.94048,                0.94113,                0.83243,                0.89244,                0.94048,                0.93745,                0.85191,                0.48123,                0.60146,                0.72168,                 1.0604,              0.0016086,              0.0016086,              0.0016086
                     88,                0.49857,                0.58934,                0.43996,                0.94204,                0.95934,                0.95833,                0.95708,                0.81237,                0.95934,                0.95833,                0.96116,                0.85852,                0.50267,                0.55639,                0.54931,                 1.0496,              0.0016079,              0.0016079,              0.0016079
                     89,                0.55063,                0.70082,                0.46612,                0.94999,                0.95467,                0.95833,                0.96697,                0.81432,                0.95467,                0.95833,                0.96697,                0.81994,                0.47958,                0.67569,                0.49832,                 1.0379,              0.0016072,              0.0016072,              0.0016072
                     90,                0.49931,                0.59567,                0.41253,                 0.9287,                0.89797,                      1,                0.98785,                0.85305,                0.89797,                      1,                0.98785,                0.85513,                0.47111,                0.58171,                0.42384,                 1.0313,              0.0016065,              0.0016065,              0.0016065
                     91,                 0.5152,                0.64558,                0.41566,                0.92246,                0.90101,                0.98415,                0.98438,                0.86145,                0.90101,                0.98415,                0.98438,                0.89083,                0.45871,                0.52865,                0.44918,                 1.0218,              0.0016058,              0.0016058,              0.0016058
                     92,                0.52671,                0.64187,                0.41854,                0.92812,                0.94904,                0.97869,                0.99355,                0.84148,                0.94904,                0.97869,                0.99355,                0.89362,                 0.4913,                0.59508,                0.54542,                 1.0734,              0.0016051,              0.0016051,              0.0016051
                     93,                0.50364,                0.59306,                0.42337,                0.93747,                0.93218,                0.94048,                0.95406,                0.85478,                0.93218,                0.94048,                0.95334,                0.88395,                0.47753,                0.55638,                0.57192,                 1.0705,              0.0016044,              0.0016044,              0.0016044
